gen_id,seed,ply,k,phase,legal_n,score_margin_abs,meeples_free,h3200_chosen,h6400_chosen,h12800_chosen,converged_deep,h12800_top_share,h3200_top_share,rod1_chosen,rod1_matches_deep
mp1925000043,1925000043,108,18,late_mid,27,3,"[0, 0]",1525,1531,1531,True,0.0526,0.0444,1525,False
mp1925000055,1925000055,107,18,late_mid,30,26,"[0, 0]",728,729,729,True,0.0515,0.0425,728,False
mp1925000089,1925000089,108,18,late_mid,40,4,"[0, 0]",1436,1641,1641,True,0.0262,0.0256,1641,True
mp1925000011,1925000011,108,18,late_mid,49,20,"[0, 1]",1184,983,983,True,0.0255,0.0234,980,False
mp1925000037,1925000037,108,18,late_mid,26,16,"[0, 0]",1465,1749,1749,True,0.039,0.0394,1270,False
mp1925000052,1925000052,108,18,late_mid,33,4,"[1, 0]",1452,1325,1325,True,0.0647,0.0431,859,False
mp1925000076,1925000076,108,18,late_mid,29,14,"[0, 0]",1655,965,965,True,0.054,0.0425,1655,False
mp1925000021,1925000021,108,18,late_mid,24,1,"[0, 1]",664,872,872,True,0.0419,0.0418,872,True
mp1925000028,1925000028,108,18,late_mid,31,1,"[0, 0]",1426,1271,1271,True,0.0352,0.0334,1427,False
mp1925000081,1925000081,108,18,late_mid,26,12,"[0, 0]",1025,1027,1027,True,0.0602,0.0509,1027,True
mp1925000028,1925000028,100,22,late_mid,22,2,"[0, 0]",1738,1739,1739,True,0.062,0.0537,1738,False
mp1925000009,1925000009,100,22,late_mid,76,9,"[0, 1]",1264,1360,1360,True,0.014,0.0138,756,False
mp1925000069,1925000069,100,22,late_mid,44,38,"[2, 0]",1461,757,757,True,0.0243,0.0236,861,False
mp1925000010,1925000010,92,26,late_mid,34,7,"[0, 0]",964,965,965,True,0.0326,0.0309,964,False
mp1925000026,1925000026,92,26,late_mid,21,8,"[1, 1]",664,657,657,True,0.062,0.055,658,False
mp1925000036,1925000036,92,26,late_mid,23,4,"[0, 0]",1445,757,757,True,0.0475,0.0459,1647,False
mp1925000044,1925000044,92,26,late_mid,42,7,"[0, 0]",1432,1532,1532,True,0.0294,0.0266,1745,False
mp1925000054,1925000054,92,26,late_mid,72,18,"[0, 1]",848,840,840,True,0.0186,0.0162,744,False
mp1925000002,1925000002,92,26,late_mid,16,9,"[0, 0]",1372,1374,1374,True,0.2032,0.1266,1372,False
mp1925000070,1925000070,92,26,late_mid,35,0,"[0, 1]",1435,1549,1549,True,0.0375,0.0334,760,False
mp1925000020,1925000020,92,26,late_mid,80,16,"[0, 0]",1140,1272,1272,True,0.0127,0.0126,1252,False
mp1925000085,1925000085,92,26,late_mid,52,18,"[0, 0]",852,1032,1032,True,0.0194,0.0194,1264,False
mp1925000075,1925000075,139,2,endgame,58,11,"[0, 0]",1450,1449,1449,True,0.0194,0.0184,1824,False
mp1925000008,1925000008,140,2,endgame,45,6,"[1, 0]",829,828,828,True,0.0235,0.0231,1416,False
mp1925000049,1925000049,140,2,endgame,44,21,"[0, 0]",922,1322,1322,True,0.0258,0.0256,1741,False
mp1925000004,1925000004,140,2,endgame,49,42,"[0, 0]",836,843,843,True,0.0205,0.0206,840,False
mp1925000078,1925000078,140,2,endgame,51,2,"[1, 0]",1741,1742,1742,True,0.0229,0.0213,1742,True
mp1925000069,1925000069,140,2,endgame,42,57,"[0, 0]",1041,932,932,True,0.024,0.0241,1041,False
mp1925000045,1925000045,140,2,endgame,67,29,"[0, 1]",844,848,848,True,0.0153,0.0153,958,False
mp1925000042,1925000042,140,2,endgame,46,14,"[0, 0]",1365,1361,1361,True,0.0219,0.0219,856,False
mp1925000080,1925000080,140,2,endgame,61,11,"[0, 0]",965,768,768,True,0.0165,0.0166,1341,False
mp1925000043,1925000043,138,3,endgame,112,6,"[1, 0]",1744,968,968,True,0.0091,0.0091,948,False
mp1925000086,1925000086,138,3,endgame,13,30,"[1, 0]",1028,1127,1127,True,0.077,0.0772,1326,False
mp1925000056,1925000056,137,3,endgame,30,12,"[0, 0]",1655,872,872,True,0.0548,0.0437,1655,False
mp1925000004,1925000004,138,3,endgame,26,42,"[0, 0]",1848,1536,1536,True,0.0387,0.0386,1173,False
mp1925000013,1925000013,138,3,endgame,36,26,"[1, 0]",855,1671,1671,True,0.0279,0.0278,1168,False
mp1925000052,1925000052,138,3,endgame,32,0,"[0, 0]",1449,1448,1448,True,0.0541,0.0422,1449,False
mp1925000078,1925000078,138,3,endgame,25,2,"[1, 0]",1861,1742,1742,True,0.0416,0.0406,1742,True
mp1925000040,1925000040,138,3,endgame,27,21,"[0, 0]",1017,1016,1016,True,0.0487,0.0428,1018,False
mp1925000000,1925000000,137,3,endgame,21,21,"[0, 0]",1568,1569,1569,True,0.2508,0.0697,1570,False
mp1925000034,1925000034,138,3,endgame,59,5,"[0, 0]",2032,2035,2035,True,0.017,0.0172,2044,False
mp1925000080,1925000080,136,4,endgame,55,11,"[1, 0]",854,734,734,True,0.0189,0.0184,854,False
mp1925000050,1925000050,136,4,endgame,23,23,"[0, 0]",1530,1529,1529,True,0.0663,0.0547,1529,True
mp1925000068,1925000068,136,4,endgame,37,1,"[1, 0]",557,559,559,True,0.0381,0.0319,652,False
mp1925000049,1925000049,136,4,endgame,60,21,"[0, 0]",921,920,920,True,0.0207,0.0187,1348,False
mp1925000038,1925000038,136,4,endgame,120,21,"[0, 1]",1260,1228,1228,True,0.0088,0.0084,1264,False
mp1925000030,1925000030,136,4,endgame,43,13,"[0, 1]",1549,974,974,True,0.0261,0.0247,974,True
mp1925000041,1925000041,136,4,endgame,36,12,"[1, 0]",1927,771,771,True,0.0339,0.0303,2032,False
mp1925000012,1925000012,136,4,endgame,44,14,"[0, 2]",916,821,821,True,0.055,0.0361,916,False
mp1925000045,1925000045,136,4,endgame,33,19,"[0, 0]",1055,1054,1054,True,0.0412,0.0359,1054,True
mp1925000015,1925000015,134,5,endgame,66,14,"[1, 0]",1183,1376,1376,True,0.0203,0.0178,1182,False
mp1925000065,1925000065,134,5,endgame,38,9,"[0, 0]",1058,1867,1867,True,0.0292,0.0284,1165,False
mp1925000089,1925000089,134,5,endgame,51,4,"[0, 0]",1047,1423,1423,True,0.0198,0.0197,1047,False
mp1925000063,1925000063,134,5,endgame,47,13,"[0, 0]",1230,1329,1329,True,0.03,0.0256,1231,False
mp1925000016,1925000016,134,5,endgame,66,29,"[0, 0]",729,839,839,True,0.0152,0.0153,1646,False
mp1925000021,1925000021,134,5,endgame,34,1,"[0, 0]",835,1841,1841,True,0.0319,0.0306,835,False
mp1925000071,1925000071,134,5,endgame,40,22,"[0, 0]",1067,1934,1934,True,0.0313,0.0281,2036,False
mp1925000046,1925000046,134,5,endgame,48,10,"[0, 0]",740,936,936,True,0.0213,0.0213,1740,False
mp1925000007,1925000007,134,5,endgame,23,22,"[0, 0]",1760,1755,1755,True,0.0605,0.0531,1763,False
mp1925000011,1925000011,134,5,endgame,90,19,"[0, 0]",1542,1541,1541,True,0.017,0.0141,1540,False
mp1925000054,1925000054,132,6,endgame,47,21,"[0, 0]",1832,1629,1629,True,0.0555,0.0353,1832,False
mp1925000075,1925000075,131,6,endgame,74,11,"[0, 0]",1829,1143,1143,True,0.0153,0.0147,1447,False
mp1925000046,1925000046,132,6,endgame,47,10,"[0, 0]",747,1657,1657,True,0.0222,0.0216,2036,False
mp1925000038,1925000038,132,6,endgame,21,25,"[1, 1]",540,541,541,True,0.0525,0.0503,540,False
mp1925000048,1925000048,132,6,endgame,36,10,"[0, 0]",1235,1521,1521,True,0.0505,0.0387,1521,True
mp1925000071,1925000071,132,6,endgame,32,22,"[0, 0]",864,664,664,True,0.0324,0.0327,1229,False
mp1925000050,1925000050,132,6,endgame,64,23,"[0, 1]",1124,752,752,True,0.0163,0.0159,752,True
mp1925000055,1925000055,131,6,endgame,48,1,"[1, 0]",928,825,825,True,0.1046,0.0422,1033,False
mp1925000020,1925000020,132,6,endgame,43,30,"[1, 0]",1638,1851,1851,True,0.024,0.0238,1851,True
mp1925000041,1925000041,132,6,endgame,56,22,"[0, 0]",771,770,770,True,0.0431,0.0281,770,True
mp1925000060,1925000060,132,6,endgame,28,6,"[0, 0]",966,1070,1070,True,0.0427,0.0394,1070,True
mp1925000070,1925000070,132,6,endgame,39,8,"[0, 0]",1223,1324,1324,True,0.0331,0.0297,1337,False
mp1925000043,1925000043,132,6,endgame,41,12,"[0, 1]",841,1028,1028,True,0.027,0.0256,1519,False
mp1925000067,1925000067,132,6,endgame,27,5,"[0, 0]",743,753,753,True,0.0387,0.0378,1070,False
mp1925000036,1925000036,132,6,endgame,40,4,"[0, 0]",1635,1267,1267,True,0.0402,0.0325,1267,True
mp1925000063,1925000063,80,32,midgame,24,2,"[1, 0]",840,936,936,True,0.057,0.0551,840,False
mp1925000079,1925000079,80,32,midgame,40,15,"[0, 0]",1748,1548,1548,True,0.0375,0.0309,1548,True
mp1925000087,1925000087,80,32,midgame,39,27,"[1, 0]",1258,1257,1257,True,0.0259,0.0259,1257,True
mp1925000053,1925000053,80,32,midgame,49,3,"[0, 0]",1735,1734,1734,True,0.037,0.0294,1630,False
mp1925000042,1925000042,80,32,midgame,36,6,"[0, 0]",1130,1364,1364,True,0.029,0.0284,1461,False
mp1925000058,1925000058,80,32,midgame,45,19,"[1, 1]",1332,1334,1334,True,0.1723,0.0525,1334,True
mp1925000057,1925000057,78,32,midgame,33,4,"[0, 0]",1132,1535,1535,True,0.0395,0.0356,1231,False
mp1925000004,1925000004,80,32,midgame,27,28,"[0, 0]",1229,1440,1440,True,0.05,0.0434,1440,True
mp1925000047,1925000047,80,32,midgame,60,6,"[0, 0]",1228,1369,1369,True,0.018,0.0175,942,False
mp1925000068,1925000068,80,32,midgame,24,17,"[0, 1]",1536,1538,1538,True,0.0725,0.0531,1536,False
mp1925000017,1925000017,80,32,midgame,48,14,"[0, 0]",1565,1761,1761,True,0.0283,0.0252,1761,True
mp1925000020,1925000020,68,38,midgame,20,7,"[0, 0]",1528,864,864,True,0.0588,0.0552,1528,False
mp1925000057,1925000057,66,38,midgame,14,4,"[0, 0]",1061,1059,1059,True,0.082,0.0778,1059,True
mp1925000011,1925000011,68,38,midgame,56,14,"[1, 0]",1264,1548,1548,True,0.0465,0.0233,1264,False
mp1925000029,1925000029,68,38,midgame,44,5,"[0, 0]",1260,1256,1256,True,0.0272,0.0252,1260,False
mp1925000058,1925000058,68,38,midgame,25,13,"[1, 1]",954,1333,1333,True,0.4032,0.0619,954,False
mp1925000072,1925000072,68,38,midgame,38,2,"[0, 0]",648,651,651,True,0.0316,0.0291,648,False
mp1925000052,1925000052,68,38,midgame,32,4,"[1, 1]",1457,1058,1058,True,0.063,0.045,1131,False
mp1925000055,1925000055,67,38,midgame,32,12,"[0, 0]",956,1156,1156,True,0.0545,0.0439,1156,True
mp1925000045,1925000045,68,38,midgame,32,15,"[0, 0]",836,825,825,True,0.0359,0.0341,824,False
mp1925000043,1925000043,68,38,midgame,38,15,"[0, 0]",1132,1325,1325,True,0.0444,0.0358,1425,False
mp1925000017,1925000017,68,38,midgame,50,6,"[0, 0]",1565,1465,1465,True,0.0273,0.0244,1565,False
mp1925000012,1925000012,68,38,midgame,47,14,"[0, 1]",1133,956,956,True,0.0281,0.0256,1133,False
mp1925000067,1925000067,56,44,midgame,48,5,"[2, 1]",1649,1237,1237,True,0.1043,0.0359,1649,False
mp1925000039,1925000039,56,44,midgame,27,12,"[0, 0]",1259,1048,1048,True,0.0459,0.0413,1048,True
mp1925000013,1925000013,56,44,midgame,42,13,"[2, 1]",746,945,945,True,0.0769,0.0362,945,True
mp1925000029,1925000029,56,44,midgame,33,3,"[0, 3]",1547,1540,1540,True,0.0415,0.0359,1547,False
mp1925000058,1925000058,56,44,midgame,36,7,"[1, 2]",953,1061,1061,True,0.0944,0.0472,953,False
mp1925000053,1925000053,56,44,midgame,43,11,"[1, 0]",1635,1634,1634,True,0.0356,0.0288,755,False
mp1925000070,1925000070,56,44,midgame,45,8,"[1, 2]",1272,1333,1333,True,0.0266,0.0244,1227,False
mp1925000008,1925000008,56,44,midgame,42,14,"[1, 0]",1346,1345,1345,True,0.0463,0.0334,1345,True
mp1925000048,1925000048,56,44,midgame,16,7,"[2, 0]",1468,1471,1471,True,0.1062,0.0928,1468,False
mp1925000015,1925000015,56,44,midgame,28,4,"[0, 1]",1632,1737,1737,True,0.0498,0.0428,1632,False
mp1925000061,1925000061,56,44,midgame,64,10,"[0, 2]",1756,1664,1664,True,0.0163,0.0159,1464,False
mp1925000019,1925000019,56,44,midgame,9,0,"[0, 3]",1264,1267,1267,True,0.2004,0.1609,1267,True
mp1925000017,1925000017,56,44,midgame,30,8,"[0, 0]",1028,1031,1031,True,0.0747,0.0525,1028,False
mp1925000040,1925000040,56,44,midgame,25,5,"[1, 0]",1362,1366,1366,True,0.0623,0.0444,1424,False
mp1925000003,1925000003,44,50,opening,25,14,"[1, 3]",1464,1372,1372,True,0.2334,0.0741,1464,False
mp1925000006,1925000006,44,50,opening,22,6,"[0, 0]",844,845,845,True,0.0803,0.0684,857,False
mp1925000013,1925000013,44,50,opening,24,5,"[2, 2]",1452,1549,1549,True,0.2156,0.0816,749,False
mp1925000036,1925000036,44,50,opening,15,2,"[0, 1]",1657,1656,1656,True,0.13,0.1072,1657,False
mp1925000033,1925000033,44,50,opening,25,14,"[3, 1]",1438,1442,1442,True,0.0509,0.0453,1138,False
mp1925000027,1925000027,44,50,opening,32,18,"[3, 1]",1139,1136,1136,True,0.0981,0.0534,1136,True
mp1925000016,1925000016,32,56,opening,24,1,"[4, 3]",1554,1553,1553,True,0.0984,0.0563,1554,False
mp1925000080,1925000080,32,56,opening,34,6,"[3, 2]",1465,1365,1365,True,0.0696,0.0512,1365,True
mp1925000044,1925000044,32,56,opening,24,0,"[2, 1]",847,844,844,True,0.0925,0.0656,959,False
mp1925000060,1925000060,32,56,opening,36,3,"[3, 3]",1155,1047,1047,True,0.1175,0.0559,1047,True
mp1925000071,1925000071,32,56,opening,19,3,"[2, 3]",1549,1550,1550,True,0.0725,0.0606,1158,False
mp1925000022,1925000022,20,62,opening,12,0,"[3, 4]",1648,1547,1547,True,0.2102,0.1284,1649,False
mp1925000086,1925000086,20,62,opening,7,4,"[5, 3]",1356,1452,1452,True,0.1938,0.1744,1446,False
mp1925000030,1925000030,20,62,opening,11,0,"[4, 4]",1358,1450,1450,True,0.126,0.1091,1240,False
mp1925000080,1925000080,20,62,opening,18,6,"[5, 4]",1348,1243,1243,True,0.0813,0.0663,1346,False
mp1925000046,1925000046,20,62,opening,12,4,"[3, 4]",1053,1141,1141,True,0.1776,0.1219,1053,False
mp1925000025,1925000025,128,8,pre_endgame,37,2,"[1, 1]",1729,1729,842,False,0.0613,0.04,1729,False
mp1925000035,1925000035,128,8,pre_endgame,46,7,"[1, 0]",1322,1425,1323,False,0.0227,0.0222,1551,False
mp1925000065,1925000065,128,8,pre_endgame,52,9,"[0, 0]",1060,1164,1640,False,0.0196,0.0195,1564,False
mp1925000020,1925000020,128,8,pre_endgame,41,21,"[0, 0]",1124,1124,1127,False,0.0252,0.0247,1455,False
mp1925000001,1925000001,128,8,pre_endgame,92,24,"[0, 0]",1160,1368,1468,False,0.0109,0.0109,1836,False
mp1925000087,1925000087,128,8,pre_endgame,36,34,"[0, 0]",1749,1749,1742,False,0.0278,0.0278,840,False
mp1925000021,1925000021,128,8,pre_endgame,45,1,"[0, 0]",752,1430,747,False,0.0223,0.0225,1164,False
mp1925000023,1925000023,128,8,pre_endgame,29,2,"[0, 0]",1518,1517,1616,False,0.0558,0.045,1554,False
mp1925000073,1925000073,128,8,pre_endgame,62,22,"[0, 0]",741,741,743,False,0.0164,0.0163,860,False
mp1925000033,1925000033,128,8,pre_endgame,51,49,"[0, 0]",1068,866,849,False,0.0209,0.0203,849,True
mp1925000046,1925000046,128,8,pre_endgame,36,10,"[0, 0]",740,1068,1771,False,0.0285,0.0281,2036,False
mp1925000066,1925000066,128,8,pre_endgame,83,3,"[0, 0]",828,1466,1561,False,0.0177,0.0147,1465,False
mp1925000000,1925000000,127,8,pre_endgame,18,21,"[0, 0]",1323,1320,1322,False,0.0856,0.0706,1320,False
mp1925000081,1925000081,128,8,pre_endgame,41,30,"[0, 0]",1033,1034,1022,False,0.0303,0.0269,1021,False
mp1925000029,1925000029,128,8,pre_endgame,36,12,"[0, 0]",1840,764,1228,False,0.0278,0.028,772,False
mp1925000051,1925000051,124,10,pre_endgame,53,16,"[0, 0]",1071,966,965,False,0.0252,0.0219,1068,False
mp1925000035,1925000035,124,10,pre_endgame,38,7,"[2, 1]",1122,1122,1121,False,0.0329,0.0297,1140,False
mp1925000066,1925000066,124,10,pre_endgame,46,3,"[1, 0]",551,551,549,False,0.0292,0.0259,963,False
mp1925000030,1925000030,124,10,pre_endgame,49,16,"[1, 0]",1737,1737,1839,False,0.0503,0.0338,1737,False
mp1925000083,1925000083,124,10,pre_endgame,14,2,"[0, 1]",1565,1226,1173,False,0.0726,0.0722,1174,False
mp1925000067,1925000067,124,10,pre_endgame,32,5,"[0, 0]",1744,1744,1524,False,0.0367,0.0341,1524,True
mp1925000045,1925000045,124,10,pre_endgame,54,19,"[0, 1]",727,1484,849,False,0.0188,0.0187,1660,False
mp1925000015,1925000015,124,10,pre_endgame,19,10,"[0, 0]",1939,1834,1938,False,0.0688,0.0616,1938,True
mp1925000025,1925000025,124,10,pre_endgame,32,6,"[2, 1]",1629,1629,1660,False,0.0484,0.0387,1660,True
mp1925000022,1925000022,124,10,pre_endgame,30,19,"[0, 0]",1741,936,939,False,0.0341,0.0338,2055,False
mp1925000050,1925000050,124,10,pre_endgame,26,21,"[0, 0]",1532,1532,1161,False,0.0564,0.047,1532,False
mp1925000034,1925000034,124,10,pre_endgame,48,5,"[0, 1]",1264,1264,1169,False,0.0284,0.0245,1169,True
mp1925000033,1925000033,124,10,pre_endgame,61,49,"[0, 0]",1762,1166,868,False,0.0165,0.0166,655,False
mp1925000046,1925000046,124,10,pre_endgame,36,10,"[0, 1]",1843,1573,749,False,0.0298,0.0288,749,True
mp1925000074,1925000074,124,10,pre_endgame,45,26,"[0, 0]",738,739,830,False,0.0225,0.0225,830,True
mp1925000028,1925000028,124,10,pre_endgame,31,1,"[0, 0]",1728,1560,1665,False,0.0324,0.0325,1553,False
mp1925000072,1925000072,124,10,pre_endgame,29,13,"[0, 0]",759,1129,756,False,0.0347,0.0347,740,False
mp1925000082,1925000082,123,10,pre_endgame,60,28,"[0, 0]",1652,1940,2048,False,0.0168,0.0167,1940,False
mp1925000065,1925000065,124,10,pre_endgame,52,9,"[0, 0]",1033,1564,1029,False,0.0194,0.0194,1564,False
mp1925000043,1925000043,124,10,pre_endgame,50,9,"[0, 0]",765,757,1857,False,0.0209,0.0206,945,False
mp1925000008,1925000008,120,12,pre_endgame,58,12,"[0, 0]",1737,1532,1640,False,0.0198,0.0187,1532,False
mp1925000002,1925000002,120,12,pre_endgame,75,14,"[1, 1]",1560,1062,1060,False,0.0198,0.0159,1742,False
mp1925000014,1925000014,120,12,pre_endgame,63,0,"[0, 1]",856,1267,1165,False,0.0159,0.0159,1136,False
mp1925000051,1925000051,120,12,pre_endgame,43,16,"[0, 0]",860,860,1475,False,0.0245,0.0238,1117,False
mp1925000009,1925000009,120,12,pre_endgame,52,26,"[0, 0]",842,1173,1840,False,0.0194,0.0194,1173,False
mp1925000067,1925000067,120,12,pre_endgame,34,5,"[0, 0]",1132,1132,1634,False,0.0334,0.0312,1634,True
mp1925000054,1925000054,120,12,pre_endgame,57,21,"[0, 1]",763,661,1370,False,0.018,0.0178,741,False
mp1925000063,1925000063,120,12,pre_endgame,37,13,"[1, 0]",1633,1633,1745,False,0.0377,0.0316,1633,False
mp1925000022,1925000022,120,12,pre_endgame,44,19,"[0, 0]",938,1643,1771,False,0.023,0.0228,746,False
mp1925000057,1925000057,118,12,pre_endgame,37,30,"[0, 0]",1554,1545,1549,False,0.028,0.0275,644,False
mp1925000076,1925000076,120,12,pre_endgame,35,10,"[1, 0]",868,868,869,False,0.0477,0.0403,868,False
mp1925000080,1925000080,120,12,pre_endgame,45,0,"[1, 0]",1427,1427,1529,False,0.0249,0.0234,1053,False
mp1925000013,1925000013,120,12,pre_endgame,36,27,"[0, 0]",825,1039,824,False,0.028,0.0278,1039,False
mp1925000052,1925000052,120,12,pre_endgame,36,4,"[0, 0]",1420,836,1524,False,0.0278,0.0279,1216,False
mp1925000073,1925000073,120,12,pre_endgame,48,22,"[1, 0]",740,740,1649,False,0.0423,0.0305,740,False
mp1925000050,1925000050,120,12,pre_endgame,44,21,"[0, 1]",1428,753,940,False,0.0239,0.0233,753,False
mp1925000042,1925000042,120,12,pre_endgame,38,14,"[0, 0]",1224,1124,1127,False,0.0263,0.0266,1940,False
mp1925000034,1925000034,120,12,pre_endgame,53,7,"[0, 0]",1265,1265,1843,False,0.0201,0.0194,1843,True
mp1925000061,1925000061,120,12,pre_endgame,36,38,"[0, 1]",1166,1270,1574,False,0.0278,0.0278,1468,False
mp1925000037,1925000037,120,12,pre_endgame,34,22,"[0, 0]",1076,1329,1757,False,0.031,0.0306,1465,False
mp1925000089,1925000089,116,14,pre_endgame,55,4,"[0, 0]",1338,1645,1646,False,0.0187,0.0184,1336,False
mp1925000010,1925000010,116,14,pre_endgame,24,2,"[0, 0]",1428,1431,1637,False,0.0471,0.0447,1637,True
mp1925000005,1925000005,116,14,pre_endgame,54,5,"[1, 0]",840,843,837,False,0.0253,0.0216,1656,False
mp1925000028,1925000028,116,14,pre_endgame,36,1,"[0, 0]",740,1647,1031,False,0.0278,0.0278,1936,False
mp1925000069,1925000069,116,14,pre_endgame,42,46,"[1, 0]",738,738,739,False,0.0248,0.0244,738,False
mp1925000031,1925000031,116,14,pre_endgame,42,25,"[1, 0]",1237,1237,760,False,0.0375,0.0291,1237,False
mp1925000038,1925000038,116,14,pre_endgame,54,18,"[0, 0]",964,861,640,False,0.0227,0.0206,640,True
mp1925000033,1925000033,116,14,pre_endgame,42,49,"[0, 0]",866,866,849,False,0.0242,0.0241,1168,False
mp1925000088,1925000088,115,14,pre_endgame,41,16,"[0, 0]",1764,1767,1546,False,0.0248,0.0247,1561,False
mp1925000024,1925000024,116,14,pre_endgame,58,2,"[0, 1]",1173,1762,1172,False,0.022,0.0197,1173,False
mp1925000073,1925000073,116,14,pre_endgame,32,18,"[1, 0]",1165,740,1651,False,0.1139,0.0478,1651,True
mp1925000083,1925000083,116,14,pre_endgame,50,10,"[0, 0]",1528,1528,1531,False,0.0214,0.0206,1628,False
mp1925000064,1925000064,116,14,pre_endgame,42,45,"[0, 1]",1568,1568,1569,False,0.024,0.0241,1228,False
mp1925000029,1925000029,116,14,pre_endgame,13,10,"[0, 0]",938,938,1634,False,0.0802,0.0788,938,False
