position_id,k,source,in_hand_tile,score_diff_mover,legal_n,n_optimal,sharp,gap,iter8_regret,iter8_action,heur3200_regret,ref_action,ref_regret,iter8_v27,ref_v27,iter8_imm_net,ref_imm_net,iter8_meeple,ref_meeple,iter8_completion,ref_completion,mechanism,v27_axis,raw_path
greedy_s3500000018_k4,4,greedy_selfplay,bent_road,-23,50,1,True,8.0,8.0,1440,8.0,,,-15,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000018_k4.json
greedy_s3500000009_k4,4,greedy_selfplay,crossroads,-4,24,4,False,0.0,8.0,856,8.0,,,-10,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000009_k4.json
g3200000022_k2,2,greedy_selfplay,bent_road,26,50,1,False,,6.0,1157,0.0,1653,0.0,25,31,0,0,0,0,False,False,structural-or-farm,v2.7-rankable,/mnt/c/carc-shared/l23_regret/g3200000022_k2.json
g3200000022_k3,3,greedy_selfplay,city_bottom_grass_shield,-26,36,1,False,,6.0,1034,6.0,,,-23,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_regret/g3200000022_k3.json
g3200000059_k3,3,greedy_selfplay,three_split_road,2,50,1,False,,6.0,1221,6.0,,,0,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_regret/g3200000059_k3.json
g3200000075_k3,3,greedy_selfplay,crossroads,-14,28,4,False,,6.0,868,0.0,1680,0.0,8,9,0,6,0,1,False,True,completion,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000075_k3.json
hybrid_8_3200_s3503000022_k4,4,hybrid:8:3200_selfplay,city_diagonal_top_right_flowers,-6,34,2,False,0.0,6.0,1728,6.0,,,8,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000022_k4.json
greedy_s3500000016_k4,4,greedy_selfplay,city_bottom_road_shield,-2,37,1,True,3.0,5.0,1130,0.0,1834,0.0,19,20,0,5,0,1,False,True,completion,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000016_k4.json
heur3200_s3502000031_k4,4,heur@3200_selfplay,city_diagonal_top_right_shield,23,29,1,True,5.0,5.0,2048,5.0,,,17,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000031_k4.json
g3200000092_k2,2,greedy_selfplay,city_top,21,71,1,False,,5.0,754,5.0,742,0.0,19,15,0,0,0,0,False,False,structural-or-farm,iter8-move-v2.7-preferred,/mnt/c/carc-shared/l23_regret/g3200000092_k2.json
greedy_s3500000007_k4,4,greedy_selfplay,city_top_right,7,44,1,False,1.0,5.0,1356,0.0,1426,0.0,-2,-3,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000007_k4.json
greedy_s3500000002_k4,4,greedy_selfplay,bent_road,0,72,1,True,4.0,4.0,1063,4.0,,,-1,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000002_k4.json
heur3200_s3502000010_k4,4,heur@3200_selfplay,bent_road_flowers,-4,53,1,True,3.0,4.0,1228,3.0,1069,3.0,-15,-14,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000010_k4.json
heur3200_s3502000045_k4,4,heur@3200_selfplay,city_top_road_bend_left,5,44,1,True,3.0,4.0,1475,4.0,,,1,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000045_k4.json
hybrid_8_3200_s3503000004_k4,4,hybrid:8:3200_selfplay,city_diagonal_top_right,3,37,1,True,2.0,4.0,863,4.0,,,-6,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000004_k4.json
iter8_s3501000048_k4,4,iter8_selfplay,city_bottom_grass_flowers,4,21,1,True,4.0,4.0,1037,4.0,,,16,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000048_k4.json
g3200000099_k2,2,greedy_selfplay,three_split_road,-19,47,4,False,,4.0,1386,0.0,976,0.0,-3,-3,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000099_k2.json
g3200000121_k2,2,greedy_selfplay,city_top_crossroads,5,24,1,False,,4.0,1062,4.0,1378,0.0,1,1,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000121_k2.json
g3200000011_k3,3,greedy_selfplay,bent_road,-11,47,1,False,,4.0,1467,0.0,847,0.0,27,27,0,0,0,1,False,True,completion,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000011_k3.json
g3200000023_k3,3,greedy_selfplay,city_top_road_bend_left,-23,32,2,False,,4.0,752,4.0,,,-13,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_regret/g3200000023_k3.json
g3200000032_k3,3,greedy_selfplay,straight_road,-1,44,2,False,,4.0,664,2.0,1936,2.0,-4,-2,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000032_k3.json
greedy_s3500000021_k4,4,greedy_selfplay,city_bottom_grass,28,35,1,False,1.0,4.0,1235,4.0,,,2,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000021_k4.json
hybrid_8_3200_s3503000014_k4,4,hybrid:8:3200_selfplay,city_top_road_bend_right,-31,31,1,False,1.0,4.0,751,1.0,1645,1.0,-28,-28,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000014_k4.json
hybrid_8_3200_s3503000031_k4,4,hybrid:8:3200_selfplay,city_top,42,62,1,False,1.0,4.0,1964,0.0,1375,0.0,49,52,0,0,0,0,False,False,structural-or-farm,v2.7-rankable,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000031_k4.json
greedy_s3500000005_k4,4,greedy_selfplay,city_diagonal_top_left_shield_road,-3,33,1,True,2.0,3.0,1558,2.0,1353,2.0,-5,-4,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000005_k4.json
hybrid_8_3200_s3503000035_k4,4,hybrid:8:3200_selfplay,bent_road,-8,47,1,True,3.0,3.0,1843,3.0,,,-4,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000035_k4.json
hybrid_8_3200_s3503000042_k4,4,hybrid:8:3200_selfplay,three_split_road,-13,43,1,True,3.0,3.0,1558,3.0,,,2,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000042_k4.json
iter8_s3501000038_k4,4,iter8_selfplay,bent_road,-9,63,1,True,3.0,3.0,1368,3.0,,,-17,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000038_k4.json
iter8_s3501000045_k4,4,iter8_selfplay,city_diagonal_top_left_road,-15,37,1,True,2.0,3.0,1435,3.0,,,6,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000045_k4.json
g3200000004_k2,2,greedy_selfplay,bent_road,0,75,2,False,,3.0,625,2.0,944,0.0,7,7,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000004_k2.json
g3200000103_k2,2,greedy_selfplay,bent_road,-17,40,1,False,,3.0,1120,3.0,829,0.0,-21,-21,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000103_k2.json
g3200000111_k2,2,greedy_selfplay,city_top_road_bend_right,-34,37,2,False,,3.0,1170,1.0,1460,0.0,-32,-36,0,0,0,0,False,False,structural-or-farm,iter8-move-v2.7-preferred,/mnt/c/carc-shared/l23_regret/g3200000111_k2.json
g3200000127_k2,2,greedy_selfplay,city_top_flowers,-6,57,5,False,,3.0,1372,2.0,840,0.0,17,15,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000127_k2.json
g3200000045_k3,3,greedy_selfplay,city_left_right,-13,44,2,False,,3.0,1173,3.0,,,10,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_regret/g3200000045_k3.json
g3200000083_k3,3,greedy_selfplay,city_top,11,58,2,False,,3.0,1536,0.0,943,0.0,21,24,0,0,0,0,False,False,structural-or-farm,v2.7-rankable,/mnt/c/carc-shared/l23_regret/g3200000083_k3.json
greedy_s3500000001_k4,4,greedy_selfplay,city_diagonal_top_left_shield_road,-37,22,4,False,0.0,3.0,1186,0.0,1660,0.0,-41,-39,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000001_k4.json
greedy_s3500000029_k4,4,greedy_selfplay,city_bottom_grass_shield,7,17,2,False,0.0,3.0,1523,3.0,,,-4,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000029_k4.json
greedy_s3500000037_k4,4,greedy_selfplay,city_diagonal_top_right,-4,40,2,False,0.0,3.0,1533,2.0,1068,2.0,3,5,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000037_k4.json
heur3200_s3502000016_k4,4,heur@3200_selfplay,city_top_road_bend_left,22,52,3,False,0.0,3.0,1332,2.0,1145,2.0,12,20,0,0,0,0,False,False,structural-or-farm,v2.7-rankable,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000016_k4.json
heur3200_s3502000020_k4,4,heur@3200_selfplay,chapel_with_road,35,29,1,False,1.0,3.0,1362,3.0,,,0,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000020_k4.json
hybrid_8_3200_s3503000024_k4,4,hybrid:8:3200_selfplay,city_top_straight_road,16,33,1,False,1.0,3.0,1650,1.0,1379,1.0,8,8,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000024_k4.json
iter8_s3501000014_k4,4,iter8_selfplay,city_top_road_bend_right,-5,46,1,False,1.0,3.0,1116,1.0,837,1.0,-14,-14,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000014_k4.json
iter8_s3501000022_k4,4,iter8_selfplay,city_top_right,12,35,6,False,0.0,3.0,1268,3.0,,,18,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000022_k4.json
iter8_s3501000042_k4,4,iter8_selfplay,straight_road,37,44,2,False,0.0,3.0,968,0.0,845,0.0,34,34,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000042_k4.json
greedy_s3500000035_k4,4,greedy_selfplay,chapel_with_road,2,62,1,True,2.0,2.0,861,2.0,,,-11,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000035_k4.json
hybrid_8_3200_s3503000002_k4,4,hybrid:8:3200_selfplay,city_bottom_grass,-34,21,1,True,2.0,2.0,1277,2.0,,,-24,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000002_k4.json
hybrid_8_3200_s3503000007_k4,4,hybrid:8:3200_selfplay,city_top_straight_road,22,34,1,True,2.0,2.0,738,2.0,,,8,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000007_k4.json
hybrid_8_3200_s3503000011_k4,4,hybrid:8:3200_selfplay,chapel_with_road,24,47,1,True,2.0,2.0,1051,2.0,,,35,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000011_k4.json
g3200000011_k2,2,greedy_selfplay,chapel,2,48,4,False,,2.0,1464,0.0,940,0.0,-27,-26,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000011_k2.json
g3200000034_k2,2,greedy_selfplay,bent_road_flowers,28,53,1,False,,2.0,1240,0.0,833,0.0,36,38,9,0,1,0,True,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000034_k2.json
g3200000073_k2,2,greedy_selfplay,city_top_road_bend_left,18,46,1,False,,2.0,743,1.0,1221,0.0,42,40,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000073_k2.json
g3200000074_k2,2,greedy_selfplay,straight_road_flowers,13,46,2,False,,2.0,1541,2.0,1049,0.0,19,19,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000074_k2.json
g3200000090_k2,2,greedy_selfplay,city_top_straight_road,-15,45,38,False,,2.0,1162,2.0,640,0.0,9,6,2,0,1,0,True,False,structural-or-farm,iter8-move-v2.7-preferred,/mnt/c/carc-shared/l23_regret/g3200000090_k2.json
g3200000095_k2,2,greedy_selfplay,three_split_road,-14,33,2,False,,2.0,1477,0.0,736,0.0,8,10,0,10,0,2,False,True,completion,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000095_k2.json
g3200000130_k2,2,greedy_selfplay,city_left_right,-26,44,2,False,,2.0,1160,0.0,1169,0.0,-4,-9,0,0,0,0,False,False,structural-or-farm,iter8-move-v2.7-preferred,/mnt/c/carc-shared/l23_regret/g3200000130_k2.json
g3200000141_k2,2,greedy_selfplay,chapel_with_road,-15,64,1,False,,2.0,1649,0.0,1324,0.0,-5,-4,0,2,0,1,False,True,completion,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000141_k2.json
g3200000005_k3,3,greedy_selfplay,city_top_bottom_flowers,11,50,2,False,,2.0,856,2.0,,,3,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_regret/g3200000005_k3.json
g3200000008_k3,3,greedy_selfplay,city_bottom_grass_shield,-36,31,4,False,,2.0,1749,2.0,,,-40,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_regret/g3200000008_k3.json
g3200000009_k3,3,greedy_selfplay,city_bottom_road_shield,22,21,3,False,,2.0,1736,2.0,,,13,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_regret/g3200000009_k3.json
g3200000020_k3,3,greedy_selfplay,city_diagonal_top_left_road,-11,35,1,False,,2.0,846,5.0,,,12,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_regret/g3200000020_k3.json
g3200000030_k3,3,greedy_selfplay,city_top,-13,59,4,False,,2.0,1052,0.0,754,0.0,1,1,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000030_k3.json
g3200000039_k3,3,greedy_selfplay,city_left_right,15,44,2,False,,2.0,965,2.0,,,19,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_regret/g3200000039_k3.json
g3200000074_k3,3,greedy_selfplay,city_narrow_shield,-13,46,2,False,,2.0,1473,2.0,,,-18,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_regret/g3200000074_k3.json
g3200000076_k3,3,greedy_selfplay,city_top_crossroads,9,29,5,False,,2.0,763,2.0,,,-19,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_regret/g3200000076_k3.json
greedy_s3500000013_k4,4,greedy_selfplay,city_diagonal_top_right_shield_flowers,9,40,1,False,1.0,2.0,958,2.0,,,24,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000013_k4.json
greedy_s3500000038_k4,4,greedy_selfplay,city_bottom_grass_flowers,2,30,4,False,0.0,2.0,1171,2.0,,,-4,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000038_k4.json
greedy_s3500000044_k4,4,greedy_selfplay,bent_road,-11,56,3,False,0.0,2.0,1675,1.0,1062,1.0,-30,-29,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/greedy_s3500000044_k4.json
heur3200_s3502000009_k4,4,heur@3200_selfplay,city_top_left_flowers,24,27,3,False,0.0,2.0,1657,2.0,,,9,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000009_k4.json
heur3200_s3502000029_k4,4,heur@3200_selfplay,city_bottom_grass_shield,-10,20,4,False,0.0,2.0,1846,2.0,,,-10,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000029_k4.json
heur3200_s3502000042_k4,4,heur@3200_selfplay,city_diagonal_top_left_shield_road,4,30,2,False,0.0,2.0,924,0.0,750,0.0,14,14,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/heur3200_s3502000042_k4.json
hybrid_8_3200_s3503000005_k4,4,hybrid:8:3200_selfplay,city_narrow,8,28,2,False,0.0,2.0,1628,2.0,,,9,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000005_k4.json
hybrid_8_3200_s3503000012_k4,4,hybrid:8:3200_selfplay,straight_road,-8,50,6,False,0.0,2.0,1433,2.0,,,7,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000012_k4.json
hybrid_8_3200_s3503000045_k4,4,hybrid:8:3200_selfplay,bent_road,11,57,2,False,0.0,2.0,1436,0.0,841,0.0,4,4,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_k4_expand_probe/hybrid_8_3200_s3503000045_k4.json
iter8_s3501000012_k4,4,iter8_selfplay,three_split_road,-12,51,2,False,0.0,2.0,1954,4.0,,,-28,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000012_k4.json
iter8_s3501000015_k4,4,iter8_selfplay,three_split_road,8,39,3,False,0.0,2.0,1167,2.0,,,-5,,0,0,0,,False,,no-stronger-ref(both-miss),no-stronger-ref(both-miss),/mnt/c/carc-shared/l23_k4_expand_probe/iter8_s3501000015_k4.json
g3200000009_k2,2,greedy_selfplay,straight_road,-22,66,2,False,,1.0,1521,0.0,1717,0.0,-13,-12,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000009_k2.json
g3200000014_k2,2,greedy_selfplay,straight_road,-5,46,10,False,,1.0,832,0.0,753,0.0,14,14,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000014_k2.json
g3200000017_k2,2,greedy_selfplay,city_top_road_bend_left,-19,43,6,False,,1.0,924,0.0,1326,0.0,-9,-8,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000017_k2.json
g3200000018_k2,2,greedy_selfplay,city_diagonal_top_right,-5,51,44,False,,1.0,2155,0.0,1335,0.0,-15,-14,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000018_k2.json
g3200000019_k2,2,greedy_selfplay,bent_road,32,43,2,False,,1.0,1279,1.0,866,0.0,33,33,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000019_k2.json
g3200000020_k2,2,greedy_selfplay,city_diagonal_top_right,11,41,2,False,,1.0,1081,0.0,937,0.0,-14,-13,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000020_k2.json
g3200000021_k2,2,greedy_selfplay,city_top_crossroads,9,43,4,False,,1.0,1230,0.0,658,0.0,25,29,0,0,0,0,False,False,structural-or-farm,v2.7-rankable,/mnt/c/carc-shared/l23_regret/g3200000021_k2.json
g3200000023_k2,2,greedy_selfplay,straight_road,23,34,26,False,,1.0,745,0.0,661,0.0,11,12,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000023_k2.json
g3200000030_k2,2,greedy_selfplay,bent_road,13,58,1,False,,1.0,1147,1.0,1373,0.0,0,-1,0,0,1,0,True,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000030_k2.json
g3200000041_k2,2,greedy_selfplay,city_top_crossroads,-2,14,3,False,,1.0,1172,1.0,868,0.0,-19,-19,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000041_k2.json
g3200000044_k2,2,greedy_selfplay,bent_road,8,55,1,False,,1.0,1434,1.0,1849,0.0,5,5,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000044_k2.json
g3200000051_k2,2,greedy_selfplay,city_bottom_road,15,27,1,False,,1.0,1325,0.0,1530,0.0,27,28,0,9,0,1,False,True,completion,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000051_k2.json
g3200000054_k2,2,greedy_selfplay,city_top,9,65,3,False,,1.0,1362,0.0,638,0.0,7,9,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000054_k2.json
g3200000056_k2,2,greedy_selfplay,straight_road,-6,40,2,False,,1.0,729,0.0,1748,0.0,-9,-8,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000056_k2.json
g3200000063_k2,2,greedy_selfplay,city_top_road_bend_left,-19,38,2,False,,1.0,1856,0.0,1417,0.0,-26,-26,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000063_k2.json
g3200000064_k2,2,greedy_selfplay,bent_road,35,43,5,False,,1.0,1132,0.0,964,0.0,65,66,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000064_k2.json
g3200000071_k2,2,greedy_selfplay,city_top_straight_road,19,40,6,False,,1.0,1558,1.0,661,0.0,-11,-13,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000071_k2.json
g3200000075_k2,2,greedy_selfplay,city_top_left_flowers,8,53,4,False,,1.0,1486,1.0,836,0.0,-12,-9,0,0,0,0,False,False,structural-or-farm,v2.7-rankable,/mnt/c/carc-shared/l23_regret/g3200000075_k2.json
g3200000078_k2,2,greedy_selfplay,straight_road_flowers,-40,52,2,False,,1.0,1665,0.0,1649,0.0,-7,-6,0,0,0,0,False,False,structural-or-farm,beyond-v2.7,/mnt/c/carc-shared/l23_regret/g3200000078_k2.json
