date,era,run_id,game,code_rev,n,config,parent_or_opponent,vars_changed,vars_confounded,hypothesis,primary_result,uncertainty,reproduced,interpretation_current,interpretation_alt,raw_link
2026-05-14,leaf,virtual_score_v2,river,UNKNOWN,30,v2 closure+farm bonus leaf,v1 leaf 76.7%,leaf bonus design,none,bonuses beat v1,30.0% wr = -47pp regression,large(n=30),n/a,v2 magnitude saturates tanh; FAILED,bonus sign/design wrong,DECISIONS.md
2026-05-14,leaf,v2.5_cap5,river,UNKNOWN,30,v2.5 cap=5 halved-P,Tier-1,scale+cap the bonus,none,capping fixes v2,83.3% vs Tier-1 (+6.6pp over v1),large(n=30),partial,scale>sign in a tanh leaf; production candidate,n=30 noisy,DECISIONS.md
2026-05-15,leaf,v2.5_dedup_fix,river,UNKNOWN,~,frozenset dedup of multi-meeple bonus,n/a,fix over-count bug,none,bug fix shifts cap optimum,cap=5 dropped 80%->70%; re-swept cap=12=85%,n/a,n/a,canonical bug-fix-shifts-optima lesson,n/a,DECISIONS.md
2026-05-15,leaf,v2.7_drop3open,river,UNKNOWN,~,P={1:0.5 2:0.2} drop-3-open cap=12,Tier-1,closure-P schedule,none,drop lottery-ticket 3-open,90% wr (vs 85% 3-tier),n/a,n/a,v2.7 = production leaf (cap=12 drop-3-open),n=small,DECISIONS.md
2026-05-15,retrain,v25_retrain_iter00,river,UNKNOWN,~,retrain policy on v2.7 self-play,warmstart_canonical,clean leaf data,none,policy retrain compounds,+21pp / +82.6 elo,n/a,n/a,first checkpoint from corrected pipeline,n/a,DECISIONS.md
2026-05-16,retrain,v25_retrain_iter01,river,UNKNOWN,100,2nd policy retrain,iter_00,another iter,none,does it compound again,59.5% / +66.8 elo / +13.3 avg,medium,n/a,2 jumps -> ceiling is data quantity,n/a,DECISIONS.md
2026-05-17,retrain,v25_retrain_iter02,river,UNKNOWN,400,3rd policy retrain,iter_01,another iter,none,does it keep compounding,+0.2 avg (-4.3 elo @ n=400),±17,reproduced n=400,policy saturated vs the fixed v2.7 leaf,n/a,results.csv:iter02_revisit_s200
2026-05-18,search,sims_ladder,river,UNKNOWN,50,iter_01 @ sims A vs B (same ckpt),self,search depth only,none,is the net under-searched,800v200=76% +200elo; knee at 800,medium,n/a,deeper search is a large under-used lever,n/a,DECISIONS.md
2026-05-19,retrain,deepsearch_s800_target,river,UNKNOWN,380,sims=800 teacher retrain,iter_01,teacher sims,none,stronger targets unstick plateau,+35.8 elo @ sims=800 / 2.0sigma,±17.9,reproduced n=380,deepsearch = sims=800-plane global best,off-plane noise,results.csv:deepsearch_eval_s800
2026-05-20,measurement,retroactive_n400,river,UNKNOWN,400,re-run 4 n=100 nulls at n=400,various,raise n,none,were the nulls false negatives,2/4 recovered (iter_B1 +25.2/1.5s; deepsearch +35.8),±17,n/a,n=400 is min for matched-strength compares,n/a,results.csv:iter_B1_revisit_s200
2026-05-20,retrain,iter_B1_optionB,river,UNKNOWN,400,score_diff value target,iter_01,value-target mode,none,score_diff > snapshot,+25.2 elo / 1.5sigma,±17.4,reproduced(recovered FN),iter_B1 = sims=200-plane global best,1.5sigma is sub-verdict,results.csv:iter_B1_revisit_s200
2026-05-24,measurement,optionB_chain_B2-B4,river,UNKNOWN,2000,Option B chain steps,predecessor,chain iters,none,does Option B chain accumulate,chain +11.4/+2.4/+1.4 BUT B4 vs iter_01 = -19.1,±17,reproduced,Option B as a chain lever is DEAD (RPS/self-specialization),n/a,results.csv:B4_vs_iter01_anchor
2026-05-26,search,c_puct_3.0_peak,river,UNKNOWN,400,eval-side c=3.0 vs c=1.5,iter_B1 self,c_puct eval-side,none,higher c helps,+47.2 elo / 2.8sigma (PEAK),±17.5,REVISED,initial 'free win' headline,a lone spike between c=2.5(+7.8) and c=4.0(+25.2),results.csv:phase2_puct_c30_vs_c15
2026-05-28,goal,goal_change_superhuman,n/a,n/a,n/a,n/a,n/a,n/a,n/a,decision: target genuinely superhuman (beat world champ); overrides original prompt,goal set,n/a,n/a,strength is now primary; analyzer downstream,n/a,DECISIONS.md
2026-05-28,measurement,optuna_screens,river,UNKNOWN,100-400,14 trials c_puct x cap x leaf,iter_B1 self,joint hyperparam,c+cap+leaf together,find better eval config,trial#17 (c=3 cap=12) = +13.9 @ n=100,±35,n/a,c=3 +47 looks ~2sigma inflated vs this,trial noise,results.csv:optuna_trial_0017
2026-05-29,measurement,c3_revalidate_n1600,river,UNKNOWN,1599,c=3 vs c=1.5 (pre-fix engine),iter_B1 self,c_puct,none,is the +47 real,+18.5 elo / 2.1sigma,±8.7,reproduced n=1600,c=3 stays but magnitude corrected +47->+18 (40% regression-to-mean),n/a,results.csv:hygiene_c3_vs_c15_n1600
2026-05-29,bugfix,farmer_adjacency_fix,n/a,UNKNOWN,2000,opposite_farmer_side TRT->BRB,n/a,engine involution,none,fix start-dependent farm scoring,~2.2% games mis-scored mean 9.3pts pre-fix; 0 after,n/a,reproduced,taints all prior river results,n/a,DECISIONS.md
2026-05-31,measurement,pathb_corr_climb,river,UNKNOWN,600/iter,Path B value-head retrain,frozen warm (self-anchored),value-head data,none,does held-out value corr climb,corr 0.38->0.81 (crosses v2.7 0.61); per-iter +190.8 self-anchored,n/a,n/a,MECHANISM win; +190 is self-anchored NOT strength,n/a,DECISIONS.md
2026-05-31,measurement,step9_nnleaf_lam1,river,UNKNOWN,400,pure NN-value leaf (lambda=1),same net pure v2.7,leaf value source,none,can NN value replace v2.7 leaf,3W/1D/396L = -800 (capped),±93,reproduced(4x later),calibration cliff: NN value unusable as sole leaf,wiring bug (ruled out by 3 diagnostics),results.csv:step9_nnleaf_vs_v27
2026-05-31,measurement,ladder_iter11_river,river,UNKNOWN,400,iter_11 vs HeuristicMCTS s200 c3,HeuristicMCTS,out-of-lineage opponent,leaf asymmetry(net v2.7/heur v1),first absolute signal,293W/6D/101L=74.0%=+181.7 elo/9.2sigma,±19.8,n/a,READ AS strong absolute signal AT THE TIME; later collapsed,measures policy+v2.7-vs-v1 leaf gap not policy alone,results.csv:ladder_iter11_vs_heuristic_n400
2026-06-01,measurement,anchor_iter4_vs_iter11_c15,river,UNKNOWN,400,anchor-fraction iter_4 vs iter_11 c=1.5,iter_11,anchor-fraction selfplay,c=1.5 gate,does multi-opponent break ceiling,+39.3 elo / 2.25sigma,±17.5,CONTRADICTED,looked like a real gain,anchor-overfit + c=1.5 artifact (see next 2 rows),results.csv:anchor_iter4_vs_iter11_n400
2026-06-01,measurement,ladder_iter4_vs_heur,river,UNKNOWN,400,iter_4 vs HeuristicMCTS c=3 (vs iter_11 ladder),HeuristicMCTS,out-of-lineage,none,does the +39 translate to absolute,+165.1 vs iter_11 +181.7 = -16.6/-0.6sigma = TIED,±27.7,n/a,the +39 did NOT translate -> overfit,n/a,results.csv:ladder_iter4_vs_heuristic_n400
2026-06-02,measurement,diag_iter4_c3,river,UNKNOWN,383,iter_4 vs iter_11 at c=3.0,iter_11,c_puct,none,was +39 overfit or c-artifact,+11.8 / 0.66sigma = TIED at c=3,±9,n/a,the +39 was MOSTLY a c=1.5 gate artifact,pure overfit,results.csv:diag_iter4_vs_iter11_c30_n383
2026-06-02,audit,foundational_audit,n/a,n/a,n/a,6-agent code audit,n/a,n/a,n/a,find foundational gaps,"2 live bugs (C1 farm 17%, C2 visit 20%)+6 arch caps",n/a,reproduced(both bugs),value head never in loop is the root cause,n/a,docs/research/foundational_audit_2026-06-02.md
2026-06-02,audit,clairvoyance_screen,river,UNKNOWN,76,clairvoyant vs fair_chance,iter_11,future-sight,fair_chance unsound-vs-key,is future-sight a strength lever,36W/40L = 0.474 = DEAD EVEN,±0.5sigma,n/a,future-sight NOT a strength lever -> chance-node rebuild demoted,n/a,foundational_audit_2026-06-02.md
2026-06-02,bugfix,phase0_C1_C2_river_drop,base,UNKNOWN,150,fix farm+visit double-count; drop River,n/a,reward+policy targets+ruleset,3 at once,verify fixes w/o retrain,C1: 16.3% over-scored pre-fix 633pts removed; C2: 17.5% nodes collide,n/a,reproduced,bugs fixed; River dropped; old ckpts off-distribution,n/a,scripts/verify_farm_dedup_fix.py
2026-06-02,measurement,rebaseline_iter11_base,base,UNKNOWN,400,iter_11 vs HeuristicMCTS on clean base game,HeuristicMCTS,game(river->base)+bugfix,leaf asymmetry,re-measure on real game,212W/5D/183L=53.6%=+25.2 elo/1.45sigma,±17.4,n/a,COLLAPSED from +181.7; learned policy ~= heuristic on real game,~7x elo swing from the game change alone,results.csv:ladder_iter11_vs_heuristic_baseonly_n400
2026-06-02,verdict,verdict_cpuct_cap,base,UNKNOWN,400,c=1.5/2.0/2.5 vs c=3 paired,iter_11 self,c_puct (paired),none,is any c better than 3.0,all n.s. (z -1.0..+0.9); c FLAT,±17,reproduced,c_puct+cap FLAT; production c=3 cap=12 stay,n/a,results.csv:verdict_c20_paired_n400
2026-06-02,verdict,verdict_fpu,base,UNKNOWN,200,fpu_reduction 0.2/0.4 vs q=0,iter_11 self,FPU (paired),none,does FPU help,fpu02 +45.4/z1.85; fpu04 +31.4/z1.28,±24.5,NOT(screen),FPU the one live lever; CONFIRM at n=400 owed,both <2sigma,results.csv:verdict_fpu02_paired_n200
2026-06-03,measurement,ladder_iter11_s800,base,UNKNOWN,1143,iter_11 vs HeuristicMCTS s800 c3,HeuristicMCTS,sims (200->800),none,does policy edge grow with depth,652W/24D/467L=58.1%=+56.7 elo/5.5sigma,±10.4,reproduced(shard re-tally),policy edge GROWS with depth (25->57 elo),n/a,results.csv:ladder_iter11_vs_heuristic_baseonly_s800_n1143
2026-06-04,stageB,stage_b_iter1_policy,base,UNKNOWN,400,clean-data lambda=0 policy retrain,HeuristicMCTS,clean base self-play,warm-from-iter11,does clean retrain beat ceiling,245W/8D/147L=62.3%=+86.9 elo/4.9sigma,±17.9,reproduced(n200 screen),clean-data POLICY retrain = the real win (+62 over iter_11),mixes old-policy transfer + clean retrain,results.csv:stage_b_iter1_vs_heuristic_baseonly_s200_n400
2026-06-04,stageB,value_in_loop,base,UNKNOWN,200/400,lambda>0 iters same run,HeuristicMCTS,value-blend in self-play,none,does value-in-loop help,every lambda>0 fell to ~+35,±17,n/a,v2.7 leaf is a BETTER self-play guide than the value head (C3 negative),value quality too low (loss-weight starved G-T2),DECISIONS.md/STATUS.md
2026-06-04,stageB,value_at_playtime,base,f792538,100,eval-time blend on iter_01,HeuristicMCTS,leaf value-blend,none,does value help at inference,lam0 +35 / lam0.25 +28 / lam0.5 -123,±35,n/a,value head unusable at inference too,noise low (n=100),results.csv:scalingcurve_iter01_s200_h200_b50_base
2026-06-04,stageB,policy_scale_erosion,base,UNKNOWN,200,7 policy-iteration gates warm-from-latest,HeuristicMCTS,policy iters (no ratchet),none,does policy climb past +87,gates +45/+49/+17/+19/+31/+74/+33; pooled +38±10 SEM,SEM 10,reproduced(7 gates),clean-data policy iteration ERODES the +87 peak,n/a,STATUS.md
2026-06-04,stageB,scaling_curve_A,base,f792538,100,iter_01@{50..800} vs fixed heur@200,HeuristicMCTS,net sims,none,is there an S-curve,-74/+49/+35/+85/+70 (climb then flat),±35,n/a,flat top is weak-fixed-ref ARTIFACT not saturation,saturation (initially mis-called),results.csv:scalingcurve_iter01_*
2026-06-04,probe,C4a_ownership_planes,base,UNKNOWN,n/a,value CNN +oracle ownership planes,blind CNN,representation,none,is value bottlenecked by farm-blindness,BLIND 0.469 vs +OWN 0.447 = no gain,n/a,n/a,REFUTED: not farm-representation-bottlenecked,n/a,docs/CEILING_AND_C4C6_2026-06-04.md
2026-06-04,probe,C6_desaturated_target,base,UNKNOWN,n/a,tanh/40 vs tanh/15 value target,t15,value-target norm,none,does de-saturation help ranking,t15 0.733 vs t40 0.690 on |m|>33,n/a,n/a,REFUTED: saturation never destroyed the ranking,n/a,docs/CEILING_AND_C4C6_2026-06-04.md
2026-06-05,valueloss,stepA_ranking_probe,base,UNKNOWN,120,Kendall-tau of value vs oracle siblings,v2.7,decision-ranking gauge,none,does corr-0.84 value rank moves,tau +0.081 vs v2.7 +0.579; regret 1.92 vs 0.62,±0.023,n/a,value ranks siblings at chance despite high corr,n/a,STATUS.md
2026-06-05,valueloss,stepB0_mimic_v27,base,a7691e4,100,head trained to predict v2.7 leaf value,HeuristicMCTS,value target = v2.7,none,can MSE-on-optimal-target rank,corr 0.86 but tau 0.088 (chance); lam0.5 -38,±35,n/a,the LOSS FORM (MSE) is the problem not the target,n/a,results.csv:mimic_v27_iter00_blend05*
2026-06-05,valueloss,stepB1_ranking_sweep,base,88a5b5e,200,listwise ranking loss 6 configs,HeuristicMCTS,rank-weight x temp,value-blend,does ranking loss make value an asset,all 6 marginal<0 (best -21); crater shrank -576->-358,±24.6,n/a,ranking loss HELPS but INSUFFICIENT (no config marginal>=0),n/a,results.csv:rank_a30t01_blend05*
2026-06-06,valueloss,lever1_residual,base,b358839,200+400,leaf = v2.7 + scale*Delta (residual head),HeuristicMCTS,residual value,none,does residual value help the leaf,screen marginal +68.3; confirm +35.5; POOLED +46.5/z2.29,±20,reproduced(2 seeds+inverted-U),FIRST asset-positive learned value leaf (modest mechanism win),in-ecosystem vs our own HeuristicMCTS,results.csv:lever1_residual_s025_confirm*
2026-06-06,valueloss,lever2_centered_mse,base,b358839,161,per-node-centered MSE value,HeuristicMCTS,centered value,none,does centering make value an asset,marginal -62 (HURTS),±28,n/a,Lever 2 FAILED,n=161 early-stop,results.csv:lever2_centered_b05*
2026-06-07,valueloss,lever3_residual_flywheel,base,cd853b1,300,"residual leaf in self-play, compound 2 iters",HeuristicMCTS,flywheel (gen+train+value),none,does the residual gain compound,iter0 +116.5; iter1 +66.8(regress); iter2 +125.7(+9.2 TIED),±21,reproduced(plateau-stop),NULL for compounding; residual is a STATIC asset,gate noise hides <+12 climb,results.csv:flywheel_residual_iter2_s025*
2026-06-07,odometer,odometer_residual,base,484dcfa,120/rung,residual net@200 vs HeuristicMCTS@{200 800 3200},HeuristicMCTS,out-of-lineage depth,none,is the residual gain real out-of-lineage,margin +63.6(h200) +47.5(h800) -17.5(h3200); crossover 588 vs 325,±32-45,n/a,residual gain REAL & survives 4x-deeper opponent; ceiling RAISED ~1 doubling NOT broken,washes out at 16x depth = bounded,results.csv:odometer_residual_*
